day,region,veteran_patients,general_patients,total_patients,general_ratio,accessibility_effect,quality_effect,policy_effectiveness
251,부산,80,26,106,0.24528301886792453,0.0675,0.11287499999999999,0.7174999999999998
252,부산,80,28,108,0.25925925925925924,0.06752999999999999,0.11290649999999999,0.7175699999999998
253,부산,80,29,109,0.26605504587155965,0.06756,0.11293799999999998,0.7176399999999997
254,부산,80,26,106,0.24528301886792453,0.06759,0.1129695,0.71771
255,부산,80,25,105,0.23809523809523808,0.06762,0.113001,0.7177799999999999
256,부산,80,26,106,0.24528301886792453,0.06764999999999999,0.1130325,0.7178499999999999
257,부산,80,27,107,0.2523364485981308,0.06768,0.113064,0.7179199999999999
258,부산,80,23,103,0.22330097087378642,0.06771,0.11309549999999999,0.7179899999999999
259,부산,80,21,101,0.2079207920792079,0.06774,0.11312699999999999,0.7180599999999999
260,부산,80,25,105,0.23809523809523808,0.06777,0.11315850000000001,0.7181299999999998
261,부산,80,24,104,0.23076923076923078,0.06779999999999999,0.11319,0.7181999999999998
262,부산,80,25,105,0.23809523809523808,0.06783,0.1132215,0.7182699999999999
263,부산,80,26,106,0.24528301886792453,0.06786,0.11325299999999999,0.7183399999999999
264,부산,80,25,105,0.23809523809523808,0.06788999999999999,0.1132845,0.7184099999999999
265,부산,80,29,109,0.26605504587155965,0.06792000000000001,0.11331599999999999,0.7184799999999998
266,부산,80,27,107,0.2523364485981308,0.06795,0.11334749999999999,0.7185499999999998
267,부산,80,27,107,0.2523364485981308,0.06798,0.11337900000000001,0.7186199999999998
268,부산,80,28,108,0.25925925925925924,0.06801,0.1134105,0.7186899999999998
269,부산,80,24,104,0.23076923076923078,0.06803999999999999,0.113442,0.7187599999999998
270,부산,80,29,109,0.26605504587155965,0.06807,0.11347349999999999,0.7188299999999997
271,부산,80,26,106,0.24528301886792453,0.0681,0.113505,0.7188999999999998
272,부산,80,28,108,0.25925925925925924,0.06813,0.11353649999999998,0.7189699999999998
273,부산,80,24,104,0.23076923076923078,0.06816,0.11356799999999999,0.7190399999999999
274,부산,80,23,103,0.22330097087378642,0.06819,0.1135995,0.7191099999999999
275,부산,80,28,108,0.25925925925925924,0.06822,0.113631,0.7191799999999999
276,부산,80,27,107,0.2523364485981308,0.06824999999999999,0.1136625,0.71925
277,부산,80,25,105,0.23809523809523808,0.06828,0.11369399999999999,0.7193199999999998
278,부산,80,25,105,0.23809523809523808,0.06831,0.1137255,0.7193899999999999
279,부산,80,29,109,0.26605504587155965,0.06834,0.11375699999999998,0.7194599999999999
280,부산,80,24,104,0.23076923076923078,0.06837,0.11378849999999999,0.7195299999999999
281,부산,80,30,110,0.2727272727272727,0.0684,0.11382,0.7195999999999999
282,부산,80,25,105,0.23809523809523808,0.06843,0.1138515,0.7196699999999998
283,부산,80,28,108,0.25925925925925924,0.06846,0.113883,0.7197399999999998
284,부산,80,26,106,0.24528301886792453,0.06849,0.11391449999999999,0.7198099999999998
285,부산,80,28,108,0.25925925925925924,0.06852,0.11394599999999999,0.7198799999999999
286,부산,80,26,106,0.24528301886792453,0.06855,0.11397749999999998,0.7199499999999999
287,부산,80,26,106,0.24528301886792453,0.06858,0.11400899999999999,0.7200199999999998
288,부산,80,27,107,0.2523364485981308,0.06860999999999999,0.1140405,0.7200899999999998
